Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
2:06:00:00,3,0,12:PRTD 2,-190.56155
2:06:00:00,3,0,13:Ambient Temperature,30.674011
2:06:00:00,3,0,14:LN2 Level,0
2:06:00:00,3,1,15:AC Detector Leakage Current,-209
2:06:00:00,3,1,73:DC Detector Leakage Current,44.586098
2:06:00:00,3,1,16:Charge Loop DC Level,-1.6399999
2:07:00:00,3,0,11:PRTD 1,-183.30034
2:07:00:00,3,0,12:PRTD 2,-190.55063
2:07:00:00,3,0,13:Ambient Temperature,30.674011
2:07:00:00,3,0,14:LN2 Level,0
2:07:00:00,3,1,15:AC Detector Leakage Current,-209
2:07:00:00,3,1,73:DC Detector Leakage Current,44.586098
2:07:00:00,3,1,16:Charge Loop DC Level,-1.6399999
2:08:00:00,3,0,11:PRTD 1,-183.30034
2:08:00:00,3,0,12:PRTD 2,-190.56155
2:08:00:00,3,0,13:Ambient Temperature,30.878082
2:08:00:00,3,0,14:LN2 Level,0
2:08:00:00,3,1,15:AC Detector Leakage Current,-209
2:08:00:00,3,1,73:DC Detector Leakage Current,44.586098
2:08:00:00,3,1,16:Charge Loop DC Level,-1.6399999
2:09:00:00,3,0,11:PRTD 1,-183.30585
2:09:00:00,3,0,12:PRTD 2,-190.56703
2:09:00:00,3,0,13:Ambient Temperature,30.878082
2:09:00:00,3,0,14:LN2 Level,0
2:09:00:00,3,1,15:AC Detector Leakage Current,-209
2:09:00:00,3,1,73:DC Detector Leakage Current,44.586098
2:09:00:00,3,1,16:Charge Loop DC Level,-1.6399999
2:10:00:00,3,0,11:PRTD 1,-183.28932
2:10:00:00,3,0,12:PRTD 2,-190.5725
2:10:00:00,3,0,13:Ambient Temperature,31.082184
2:10:00:00,3,0,14:LN2 Level,0
2:10:00:00,3,1,15:AC Detector Leakage Current,-209
2:10:00:00,3,1,73:DC Detector Leakage Current,44.586098
2:10:00:00,3,1,16:Charge Loop DC Level,-1.6399999
2:11:00:00,3,0,11:PRTD 1,-183.28932
2:11:00:00,3,0,12:PRTD 2,-190.5725
2:11:00:00,3,0,13:Ambient Temperature,30.878082
