Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
2:12:00:00,3,0,14:LN2 Level,0
2:12:00:00,3,1,15:AC Detector Leakage Current,-247
2:12:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:12:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:13:00:00,3,0,11:PRTD 1,-167.37096
2:13:00:00,3,0,12:PRTD 2,-197.5283
2:13:00:00,3,0,13:Ambient Temperature,29.041351
2:13:00:00,3,0,14:LN2 Level,0
2:13:00:00,3,1,15:AC Detector Leakage Current,-247
2:13:00:00,3,1,73:DC Detector Leakage Current,-24.691298
2:13:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:14:00:00,3,0,11:PRTD 1,-167.35419
2:14:00:00,3,0,12:PRTD 2,-197.51201
2:14:00:00,3,0,13:Ambient Temperature,29.449524
2:14:00:00,3,0,14:LN2 Level,0
2:14:00:00,3,1,15:AC Detector Leakage Current,-247
2:14:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:14:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:15:00:00,3,0,11:PRTD 1,-167.37096
2:15:00:00,3,0,12:PRTD 2,-197.51744
2:15:00:00,3,0,13:Ambient Temperature,28.83728
2:15:00:00,3,0,14:LN2 Level,0
2:15:00:00,3,1,15:AC Detector Leakage Current,-247
2:15:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:15:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:16:00:00,3,0,11:PRTD 1,-167.33742
2:16:00:00,3,0,12:PRTD 2,-197.53374
2:16:00:00,3,0,13:Ambient Temperature,29.449524
2:16:00:00,3,0,14:LN2 Level,0
2:16:00:00,3,1,15:AC Detector Leakage Current,-247
2:16:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:16:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:17:00:00,3,0,11:PRTD 1,-167.3486
2:17:00:00,3,0,12:PRTD 2,-197.51201
2:17:00:00,3,0,13:Ambient Temperature,29.449524
2:17:00:00,3,0,14:LN2 Level,0
2:17:00:00,3,1,15:AC Detector Leakage Current,-247
2:17:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:17:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:18:00:00,3,0,11:PRTD 1,-167.35977
2:18:00:00,3,0,12:PRTD 2,-197.5283
2:18:00:00,3,0,13:Ambient Temperature,29.041351
2:18:00:00,3,0,14:LN2 Level,0
2:18:00:00,3,1,15:AC Detector Leakage Current,-247
2:18:00:00,3,1,73:DC Detector Leakage Current,-12.345631
2:18:00:00,3,1,16:Charge Loop DC Level,-0.67999995
2:19:00:00,3,0,11:PRTD 1,-167.34302
2:19:00:00,3,0,12:PRTD 2,-197.53374
2:19:00:00,3,0,13:Ambient Temperature,29.449524
2:19:00:00,3,0,14:LN2 Level,0
2:19:00:00,3,1,15:AC Detector Leakage Current,-247
2:19:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:19:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:20:00:00,3,0,11:PRTD 1,-167.35977
2:20:00:00,3,0,12:PRTD 2,-197.50656
2:20:00:00,3,0,13:Ambient Temperature,29.041351
2:20:00:00,3,0,14:LN2 Level,0
2:20:00:00,3,1,15:AC Detector Leakage Current,-247
2:20:00:00,3,1,73:DC Detector Leakage Current,-37.037
2:20:00:00,3,1,16:Charge Loop DC Level,-0.71999997
2:21:00:00,3,0,11:PRTD 1,-167.35419
2:21:00:00,3,0,12:PRTD 2,-197.53917
2:21:00:00,3,0,13:Ambient Temperature,29.245453
2:21:00:00,3,0,14:LN2 Level,0
2:21:00:00,3,1,15:AC Detector Leakage Current,-247
2:21:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:21:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:22:00:00,3,0,11:PRTD 1,-167.3486
2:22:00:00,3,0,12:PRTD 2,-197.52287
2:22:00:00,3,0,13:Ambient Temperature,29.449524
2:22:00:00,3,0,14:LN2 Level,0
2:22:00:00,3,1,15:AC Detector Leakage Current,-247
2:22:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:22:00:00,3,1,16:Charge Loop DC Level,-0.65999997
2:23:00:00,3,0,11:PRTD 1,-167.36537
2:23:00:00,3,0,12:PRTD 2,-197.51744
2:23:00:00,3,0,13:Ambient Temperature,29.041351
2:23:00:00,3,0,14:LN2 Level,0
2:23:00:00,3,1,15:AC Detector Leakage Current,-247
2:23:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
2:23:00:00,3,1,16:Charge Loop DC Level,-0.65999997
3:00:00:00,3,0,11:PRTD 1,-167.34302
3:00:00:00,3,0,12:PRTD 2,-197.53374
3:00:00:00,3,0,13:Ambient Temperature,29.449524
3:00:00:00,3,0,14:LN2 Level,0
3:00:00:00,3,1,15:AC Detector Leakage Current,-247
3:00:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
3:00:00:00,3,1,16:Charge Loop DC Level,-0.65999997
3:01:00:00,3,0,11:PRTD 1,-167.34302
3:01:00:00,3,0,12:PRTD 2,-197.51201
3:01:00:00,3,0,13:Ambient Temperature,29.449524
3:01:00:00,3,0,14:LN2 Level,0
3:01:00:00,3,1,15:AC Detector Leakage Current,-247
3:01:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
3:01:00:00,3,1,16:Charge Loop DC Level,-0.65999997
3:02:00:00,3,0,11:PRTD 1,-167.35419
3:02:00:00,3,0,12:PRTD 2,-197.51744
3:02:00:00,3,0,13:Ambient Temperature,29.041351
3:02:00:00,3,0,14:LN2 Level,0
3:02:00:00,3,1,15:AC Detector Leakage Current,-247
3:02:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
3:02:00:00,3,1,16:Charge Loop DC Level,-0.65999997
3:03:00:00,3,0,11:PRTD 1,-167.33742
3:03:00:00,3,0,12:PRTD 2,-197.52287
3:03:00:00,3,0,13:Ambient Temperature,29.449524
3:03:00:00,3,0,14:LN2 Level,0
3:03:00:00,3,1,15:AC Detector Leakage Current,-247
3:03:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
3:03:00:00,3,1,16:Charge Loop DC Level,-0.65999997
3:04:00:00,3,0,11:PRTD 1,-167.32623
3:04:00:00,3,0,12:PRTD 2,-197.53374
3:04:00:00,3,0,13:Ambient Temperature,29.449524
3:04:00:00,3,0,14:LN2 Level,0
3:04:00:00,3,1,15:AC Detector Leakage Current,-247
3:04:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
3:04:00:00,3,1,16:Charge Loop DC Level,-0.65999997
3:05:00:00,3,0,11:PRTD 1,-167.32065
3:05:00:00,3,0,12:PRTD 2,-197.50656
3:05:00:00,3,0,13:Ambient Temperature,29.653595
3:05:00:00,3,0,14:LN2 Level,0
3:05:00:00,3,1,15:AC Detector Leakage Current,-247
3:05:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
3:05:00:00,3,1,16:Charge Loop DC Level,-0.65999997
3:06:00:00,3,0,11:PRTD 1,-167.3486
3:06:00:00,3,0,12:PRTD 2,-197.52287
3:06:00:00,3,0,13:Ambient Temperature,29.245453
3:06:00:00,3,0,14:LN2 Level,0
3:06:00:00,3,1,15:AC Detector Leakage Current,-247
3:06:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
3:06:00:00,3,1,16:Charge Loop DC Level,-0.65999997
3:07:00:00,3,0,11:PRTD 1,-167.33742
3:07:00:00,3,0,12:PRTD 2,-197.52287
3:07:00:00,3,0,13:Ambient Temperature,29.245453
3:07:00:00,3,0,14:LN2 Level,0
3:07:00:00,3,1,15:AC Detector Leakage Current,-247
3:07:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
3:07:00:00,3,1,16:Charge Loop DC Level,-0.65999997
3:08:00:00,3,0,11:PRTD 1,-167.31506
3:08:00:00,3,0,12:PRTD 2,-197.53917
3:08:00:00,3,0,13:Ambient Temperature,29.449524
3:08:00:00,3,0,14:LN2 Level,0
3:08:00:00,3,1,15:AC Detector Leakage Current,-247
3:08:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
3:08:00:00,3,1,16:Charge Loop DC Level,-0.65999997
3:09:00:00,3,0,11:PRTD 1,-167.30948
3:09:00:00,3,0,12:PRTD 2,-197.51201
3:09:00:00,3,0,13:Ambient Temperature,29.653595
3:09:00:00,3,0,14:LN2 Level,0
3:09:00:00,3,1,15:AC Detector Leakage Current,-247
3:09:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
3:09:00:00,3,1,16:Charge Loop DC Level,-0.65999997
3:10:00:00,3,0,11:PRTD 1,-167.31506
3:10:00:00,3,0,12:PRTD 2,-197.52287
3:10:00:00,3,0,13:Ambient Temperature,29.449524
3:10:00:00,3,0,14:LN2 Level,0
3:10:00:00,3,1,15:AC Detector Leakage Current,-247
3:10:00:00,3,1,73:DC Detector Leakage Current,3.6793E-05
3:10:00:00,3,1,16:Charge Loop DC Level,-0.65999997
3:11:00:00,3,0,11:PRTD 1,-167.32065
3:11:00:00,3,0,12:PRTD 2,-197.51744
3:11:00:00,3,0,13:Ambient Temperature,29.245453
3:11:00:00,3,0,14:LN2 Level,0
3:11:00:00,3,1,15:AC Detector Leakage Current,-247
3:11:00:00,3,1,73:DC Detector Leakage Current,-24.691298
3:11:00:00,3,1,16:Charge Loop DC Level,-0.6999999
3:12:00:00,3,0,11:PRTD 1,-167.32065
3:12:00:00,3,0,12:PRTD 2,-197.53374
3:12:00:00,3,0,13:Ambient Temperature,29.245453
3:12:00:00,3,0,14:LN2 Level,0
3:12:00:00,3,1,15:AC Detector Leakage Current,-247
