Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
4:03:00:00,3,1,15:AC Detector Leakage Current,-262
4:03:00:00,3,1,73:DC Detector Leakage Current,-10.582001
4:03:00:00,3,1,16:Charge Loop DC Level,-0.42
4:04:00:00,3,0,11:PRTD 1,-157.67545
4:04:00:00,3,0,12:PRTD 2,-199.18947
4:04:00:00,3,0,13:Ambient Temperature,27.408691
4:04:00:00,3,0,14:LN2 Level,0
4:04:00:00,3,1,15:AC Detector Leakage Current,-262
4:04:00:00,3,1,73:DC Detector Leakage Current,0
4:04:00:00,3,1,16:Charge Loop DC Level,-0.4
4:05:00:00,3,0,11:PRTD 1,-157.698
4:05:00:00,3,0,12:PRTD 2,-199.18405
4:05:00:00,3,0,13:Ambient Temperature,27.00055
4:05:00:00,3,0,14:LN2 Level,0
4:05:00:00,3,1,15:AC Detector Leakage Current,-262
4:05:00:00,3,1,73:DC Detector Leakage Current,-31.746033
4:05:00:00,3,1,16:Charge Loop DC Level,-0.46
4:06:00:00,3,0,11:PRTD 1,-157.70364
4:06:00:00,3,0,12:PRTD 2,-199.2166
4:06:00:00,3,0,13:Ambient Temperature,26.796448
4:06:00:00,3,0,14:LN2 Level,0
4:06:00:00,3,1,15:AC Detector Leakage Current,-262
4:06:00:00,3,1,73:DC Detector Leakage Current,0
4:06:00:00,3,1,16:Charge Loop DC Level,-0.4
4:07:00:00,3,0,11:PRTD 1,-157.68674
4:07:00:00,3,0,12:PRTD 2,-199.21117
4:07:00:00,3,0,13:Ambient Temperature,27.20462
4:07:00:00,3,0,14:LN2 Level,0
4:07:00:00,3,1,15:AC Detector Leakage Current,-262
4:07:00:00,3,1,73:DC Detector Leakage Current,0
4:07:00:00,3,1,16:Charge Loop DC Level,-0.4
4:08:00:00,3,0,11:PRTD 1,-157.67545
4:08:00:00,3,0,12:PRTD 2,-199.18405
4:08:00:00,3,0,13:Ambient Temperature,27.408691
4:08:00:00,3,0,14:LN2 Level,0
4:08:00:00,3,1,15:AC Detector Leakage Current,-262
4:08:00:00,3,1,73:DC Detector Leakage Current,0
4:08:00:00,3,1,16:Charge Loop DC Level,-0.4
4:09:00:00,3,0,11:PRTD 1,-157.70364
4:09:00:00,3,0,12:PRTD 2,-199.1949
4:09:00:00,3,0,13:Ambient Temperature,26.796448
4:09:00:00,3,0,14:LN2 Level,0
4:09:00:00,3,1,15:AC Detector Leakage Current,-262
4:09:00:00,3,1,73:DC Detector Leakage Current,0
4:09:00:00,3,1,16:Charge Loop DC Level,-0.4
4:10:00:00,3,0,11:PRTD 1,-157.68109
4:10:00:00,3,0,12:PRTD 2,-199.20575
4:10:00:00,3,0,13:Ambient Temperature,27.00055
4:10:00:00,3,0,14:LN2 Level,0
4:10:00:00,3,1,15:AC Detector Leakage Current,-262
4:10:00:00,3,1,73:DC Detector Leakage Current,0
4:10:00:00,3,1,16:Charge Loop DC Level,-0.4
4:11:00:00,3,0,11:PRTD 1,-157.6698
4:11:00:00,3,0,12:PRTD 2,-199.20032
4:11:00:00,3,0,13:Ambient Temperature,27.20462
4:11:00:00,3,0,14:LN2 Level,0
4:11:00:00,3,1,15:AC Detector Leakage Current,-262
4:11:00:00,3,1,73:DC Detector Leakage Current,10.582031
4:11:00:00,3,1,16:Charge Loop DC Level,-0.37999997
