Time Stamp,Record Type,Channel,Parameter Code,Parameter Value,Unnamed: 5
91:10:00:00,3,0,13:Ambient Temperature,27.612793,
91:10:00:00,3,0,14:LN2 Level,0.0,
91:10:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:10:00:00,3,1,73:DC Detector Leakage Current,0.0,
91:10:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:11:00:00,3,0,11:PRTD 1,-157.68109,
91:11:00:00,3,0,12:PRTD 2,-199.18947,
91:11:00:00,3,0,13:Ambient Temperature,27.20462,
91:11:00:00,3,0,14:LN2 Level,0.0,
91:11:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:11:00:00,3,1,73:DC Detector Leakage Current,0.0,
91:11:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:12:00:00,3,0,11:PRTD 1,-157.68109,
91:12:00:00,3,0,12:PRTD 2,-199.18947,
91:12:00:00,3,0,13:Ambient Temperature,27.00055,
91:12:00:00,3,0,14:LN2 Level,0.0,
91:12:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:12:00:00,3,1,73:DC Detector Leakage Current,0.0,
91:12:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:13:00:00,3,0,11:PRTD 1,-157.67545,
91:13:00:00,3,0,12:PRTD 2,-199.20575,
91:13:00:00,3,0,13:Ambient Temperature,27.00055,
91:13:00:00,3,0,14:LN2 Level,0.0,
91:13:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:13:00:00,3,1,73:DC Detector Leakage Current,0.0,
91:13:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:14:00:00,3,0,11:PRTD 1,-157.67545,
91:14:00:00,3,0,12:PRTD 2,-199.22202,
91:14:00:00,3,0,13:Ambient Temperature,27.00055,
91:14:00:00,3,0,14:LN2 Level,0.0,
91:14:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:14:00:00,3,1,73:DC Detector Leakage Current,0.0,
91:14:00:00,3,1,16:Charge Loop DC Level,-0.4,
91:15:00:00,3,0,11:PRTD 1,-157.65854,
91:15:00:00,3,0,12:PRTD 2,-199.2166,
91:15:00:00,3,0,13:Ambient Temperature,27.20462,
91:15:00:00,3,0,14:LN2 Level,0.0,
91:15:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:15:00:00,3,1,73:DC Detector Leakage Current,-10.582001,
91:15:00:00,3,1,16:Charge Loop DC Level,-0.42,
91:16:00:00,3,0,11:PRTD 1,-157.64162,
91:16:00:00,3,0,12:PRTD 2,-199.20032,
91:16:00:00,3,0,13:Ambient Temperature,27.408691,
91:16:00:00,3,0,14:LN2 Level,0.0,
91:16:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:16:00:00,3,1,73:DC Detector Leakage Current,-21.164001,
91:16:00:00,3,1,16:Charge Loop DC Level,-0.43999997,
91:17:00:00,3,0,11:PRTD 1,-157.66417,
91:17:00:00,3,0,12:PRTD 2,-199.18947,
91:17:00:00,3,0,13:Ambient Temperature,27.408691,
91:17:00:00,3,0,14:LN2 Level,0.0,
91:17:00:00,3,1,15:AC Detector Leakage Current,-262.0,
91:17:00:00,3,1,73:DC Detector Leakage Current,-21.164001,
