Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
41:00:00:00,3,0,12:PRTD 2,-199.04843
41:00:00:00,3,0,13:Ambient Temperature,27.816864
41:00:00:00,3,0,14:LN2 Level,0
41:00:00:00,3,1,15:AC Detector Leakage Current,-262
41:00:00:00,3,1,73:DC Detector Leakage Current,0
41:00:00:00,3,1,16:Charge Loop DC Level,-0.4
41:01:00:00,3,0,11:PRTD 1,-156.77853
41:01:00:00,3,0,12:PRTD 2,-199.043
41:01:00:00,3,0,13:Ambient Temperature,27.816864
41:01:00:00,3,0,14:LN2 Level,0
41:01:00:00,3,1,15:AC Detector Leakage Current,-262
41:01:00:00,3,1,73:DC Detector Leakage Current,0
41:01:00:00,3,1,16:Charge Loop DC Level,-0.4
41:02:00:00,3,0,11:PRTD 1,-156.77289
41:02:00:00,3,0,12:PRTD 2,-199.05386
41:02:00:00,3,0,13:Ambient Temperature,28.020935
41:02:00:00,3,0,14:LN2 Level,0
41:02:00:00,3,1,15:AC Detector Leakage Current,-262
41:02:00:00,3,1,73:DC Detector Leakage Current,0
41:02:00:00,3,1,16:Charge Loop DC Level,-0.4
41:03:00:00,3,0,11:PRTD 1,-156.77289
41:03:00:00,3,0,12:PRTD 2,-199.04843
41:03:00:00,3,0,13:Ambient Temperature,28.020935
41:03:00:00,3,0,14:LN2 Level,0
41:03:00:00,3,1,15:AC Detector Leakage Current,-262
41:03:00:00,3,1,73:DC Detector Leakage Current,0
41:03:00:00,3,1,16:Charge Loop DC Level,-0.4
41:04:00:00,3,0,11:PRTD 1,-156.78983
41:04:00:00,3,0,12:PRTD 2,-199.04843
41:04:00:00,3,0,13:Ambient Temperature,28.020935
41:04:00:00,3,0,14:LN2 Level,0
41:04:00:00,3,1,15:AC Detector Leakage Current,-262
41:04:00:00,3,1,73:DC Detector Leakage Current,0
41:04:00:00,3,1,16:Charge Loop DC Level,-0.4
41:05:00:00,3,0,11:PRTD 1,-156.77853
41:05:00:00,3,0,12:PRTD 2,-199.043
41:05:00:00,3,0,13:Ambient Temperature,28.020935
41:05:00:00,3,0,14:LN2 Level,0
41:05:00:00,3,1,15:AC Detector Leakage Current,-262
41:05:00:00,3,1,73:DC Detector Leakage Current,0
41:05:00:00,3,1,16:Charge Loop DC Level,-0.4
41:06:00:00,3,0,11:PRTD 1,-156.7221
41:06:00:00,3,0,12:PRTD 2,-199.05386
41:06:00:00,3,0,13:Ambient Temperature,28.83728
41:06:00:00,3,0,14:LN2 Level,0
41:06:00:00,3,1,15:AC Detector Leakage Current,-262
41:06:00:00,3,1,73:DC Detector Leakage Current,0
41:06:00:00,3,1,16:Charge Loop DC Level,-0.4
41:07:00:00,3,0,11:PRTD 1,-156.61487
41:07:00:00,3,0,12:PRTD 2,-199.09183
41:07:00:00,3,0,13:Ambient Temperature,29.449524
41:07:00:00,3,0,14:LN2 Level,0
41:07:00:00,3,1,15:AC Detector Leakage Current,-261
41:07:00:00,3,1,73:DC Detector Leakage Current,10.582031
41:07:00:00,3,1,16:Charge Loop DC Level,-0.37999997
41:08:00:00,3,0,11:PRTD 1,-156.52455
41:08:00:00,3,0,12:PRTD 2,-199.09183
41:08:00:00,3,0,13:Ambient Temperature,29.857697
41:08:00:00,3,0,14:LN2 Level,0
41:08:00:00,3,1,15:AC Detector Leakage Current,-261
41:08:00:00,3,1,73:DC Detector Leakage Current,0
41:08:00:00,3,1,16:Charge Loop DC Level,-0.4
41:09:00:00,3,0,11:PRTD 1,-156.49634
41:09:00:00,3,0,12:PRTD 2,-199.08641
41:09:00:00,3,0,13:Ambient Temperature,29.857697
41:09:00:00,3,0,14:LN2 Level,0
41:09:00:00,3,1,15:AC Detector Leakage Current,-261
41:09:00:00,3,1,73:DC Detector Leakage Current,0
41:09:00:00,3,1,16:Charge Loop DC Level,-0.4
41:10:00:00,3,0,11:PRTD 1,-156.4794
41:10:00:00,3,0,12:PRTD 2,-199.09183
41:10:00:00,3,0,13:Ambient Temperature,29.857697
41:10:00:00,3,0,14:LN2 Level,0
41:10:00:00,3,1,15:AC Detector Leakage Current,-261
41:10:00:00,3,1,73:DC Detector Leakage Current,-21.164001
41:10:00:00,3,1,16:Charge Loop DC Level,-0.43999997
41:11:00:00,3,0,11:PRTD 1,-156.45117
41:11:00:00,3,0,12:PRTD 2,-199.08641
41:11:00:00,3,0,13:Ambient Temperature,29.857697
41:11:00:00,3,0,14:LN2 Level,0
41:11:00:00,3,1,15:AC Detector Leakage Current,-261
41:11:00:00,3,1,73:DC Detector Leakage Current,0
41:11:00:00,3,1,16:Charge Loop DC Level,-0.4
41:12:00:00,3,0,11:PRTD 1,-156.45117
41:12:00:00,3,0,12:PRTD 2,-199.10268
41:12:00:00,3,0,13:Ambient Temperature,30.061768
41:12:00:00,3,0,14:LN2 Level,0
41:12:00:00,3,1,15:AC Detector Leakage Current,-261
41:12:00:00,3,1,73:DC Detector Leakage Current,-10.582001
41:12:00:00,3,1,16:Charge Loop DC Level,-0.42
41:13:00:00,3,0,11:PRTD 1,-156.43988
41:13:00:00,3,0,12:PRTD 2,-199.09183
41:13:00:00,3,0,13:Ambient Temperature,29.857697
41:13:00:00,3,0,14:LN2 Level,0
41:13:00:00,3,1,15:AC Detector Leakage Current,-261
41:13:00:00,3,1,73:DC Detector Leakage Current,0
41:13:00:00,3,1,16:Charge Loop DC Level,-0.4
41:14:00:00,3,0,11:PRTD 1,-156.44553
41:14:00:00,3,0,12:PRTD 2,-199.08641
41:14:00:00,3,0,13:Ambient Temperature,29.857697
41:14:00:00,3,0,14:LN2 Level,0
41:14:00:00,3,1,15:AC Detector Leakage Current,-261
41:14:00:00,3,1,73:DC Detector Leakage Current,0
41:14:00:00,3,1,16:Charge Loop DC Level,-0.4
41:15:00:00,3,0,11:PRTD 1,-156.46246
41:15:00:00,3,0,12:PRTD 2,-199.08641
41:15:00:00,3,0,13:Ambient Temperature,29.857697
41:15:00:00,3,0,14:LN2 Level,0
41:15:00:00,3,1,15:AC Detector Leakage Current,-261
41:15:00:00,3,1,73:DC Detector Leakage Current,0
41:15:00:00,3,1,16:Charge Loop DC Level,-0.4
41:16:00:00,3,0,11:PRTD 1,-156.46811
41:16:00:00,3,0,12:PRTD 2,-199.09183
41:16:00:00,3,0,13:Ambient Temperature,29.857697
41:16:00:00,3,0,14:LN2 Level,0
41:16:00:00,3,1,15:AC Detector Leakage Current,-261
41:16:00:00,3,1,73:DC Detector Leakage Current,0
41:16:00:00,3,1,16:Charge Loop DC Level,-0.4
41:17:00:00,3,0,11:PRTD 1,-156.60358
41:17:00:00,3,0,12:PRTD 2,-199.07556
41:17:00:00,3,0,13:Ambient Temperature,28.225037
41:17:00:00,3,0,14:LN2 Level,0
41:17:00:00,3,1,15:AC Detector Leakage Current,-262
41:17:00:00,3,1,73:DC Detector Leakage Current,0
41:17:00:00,3,1,16:Charge Loop DC Level,-0.4
41:18:00:00,3,0,11:PRTD 1,-156.69388
41:18:00:00,3,0,12:PRTD 2,-199.05928
41:18:00:00,3,0,13:Ambient Temperature,28.020935
41:18:00:00,3,0,14:LN2 Level,0
41:18:00:00,3,1,15:AC Detector Leakage Current,-262
41:18:00:00,3,1,73:DC Detector Leakage Current,0
41:18:00:00,3,1,16:Charge Loop DC Level,-0.4
41:19:00:00,3,0,11:PRTD 1,-156.7503
41:19:00:00,3,0,12:PRTD 2,-199.05928
41:19:00:00,3,0,13:Ambient Temperature,28.020935
41:19:00:00,3,0,14:LN2 Level,0
41:19:00:00,3,1,15:AC Detector Leakage Current,-262
41:19:00:00,3,1,73:DC Detector Leakage Current,0
41:19:00:00,3,1,16:Charge Loop DC Level,-0.4
41:20:00:00,3,0,11:PRTD 1,-156.7616
