Time Stamp,Record Type,Channel,Parameter Code,Parameter Value,Unnamed: 5
83:10:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:11:00:00,3,0,11:PRTD 1,-167.0635,
83:11:00:00,3,0,12:PRTD 2,-197.52287,
83:11:00:00,3,0,13:Ambient Temperature,29.041351,
83:11:00:00,3,0,14:LN2 Level,0.0,
83:11:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:11:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:11:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:12:00:00,3,0,11:PRTD 1,-167.08026,
83:12:00:00,3,0,12:PRTD 2,-197.4957,
83:12:00:00,3,0,13:Ambient Temperature,28.429108,
83:12:00:00,3,0,14:LN2 Level,0.0,
83:12:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:12:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:12:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:13:00:00,3,0,11:PRTD 1,-167.0523,
83:13:00:00,3,0,12:PRTD 2,-197.50656,
83:13:00:00,3,0,13:Ambient Temperature,29.041351,
83:13:00:00,3,0,14:LN2 Level,0.0,
83:13:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:13:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:13:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:14:00:00,3,0,11:PRTD 1,-167.06909,
83:14:00:00,3,0,12:PRTD 2,-197.51201,
83:14:00:00,3,0,13:Ambient Temperature,28.429108,
83:14:00:00,3,0,14:LN2 Level,0.0,
83:14:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:14:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:14:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:15:00:00,3,0,11:PRTD 1,-167.0579,
83:15:00:00,3,0,12:PRTD 2,-197.51744,
83:15:00:00,3,0,13:Ambient Temperature,28.83728,
83:15:00:00,3,0,14:LN2 Level,0.0,
83:15:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:15:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:15:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:16:00:00,3,0,11:PRTD 1,-167.09705,
83:16:00:00,3,0,12:PRTD 2,-197.51201,
83:16:00:00,3,0,13:Ambient Temperature,28.225037,
83:16:00:00,3,0,14:LN2 Level,0.0,
83:16:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:16:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:16:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:17:00:00,3,0,11:PRTD 1,-167.1194,
83:17:00:00,3,0,12:PRTD 2,-197.50656,
83:17:00:00,3,0,13:Ambient Temperature,28.020935,
83:17:00:00,3,0,14:LN2 Level,0.0,
83:17:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:17:00:00,3,1,73:DC Detector Leakage Current,-12.345631,
83:17:00:00,3,1,16:Charge Loop DC Level,-0.67999995,
83:18:00:00,3,0,11:PRTD 1,-167.10822,
83:18:00:00,3,0,12:PRTD 2,-197.46854,
83:18:00:00,3,0,13:Ambient Temperature,28.225037,
83:18:00:00,3,0,14:LN2 Level,0.0,
83:18:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:18:00:00,3,1,73:DC Detector Leakage Current,-12.345631,
83:18:00:00,3,1,16:Charge Loop DC Level,-0.67999995,
83:19:00:00,3,0,11:PRTD 1,-167.09705,
83:19:00:00,3,0,12:PRTD 2,-197.51744,
83:19:00:00,3,0,13:Ambient Temperature,28.633179,
83:19:00:00,3,0,14:LN2 Level,0.0,
83:19:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:19:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:19:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:20:00:00,3,0,11:PRTD 1,-167.11382,
83:20:00:00,3,0,12:PRTD 2,-197.4957,
83:20:00:00,3,0,13:Ambient Temperature,27.816864,
83:20:00:00,3,0,14:LN2 Level,0.0,
83:20:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:20:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:20:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:21:00:00,3,0,11:PRTD 1,-167.08586,
83:21:00:00,3,0,12:PRTD 2,-197.46854,
83:21:00:00,3,0,13:Ambient Temperature,28.633179,
83:21:00:00,3,0,14:LN2 Level,0.0,
83:21:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:21:00:00,3,1,73:DC Detector Leakage Current,-37.037,
83:21:00:00,3,1,16:Charge Loop DC Level,-0.71999997,
83:22:00:00,3,0,11:PRTD 1,-167.08026,
83:22:00:00,3,0,12:PRTD 2,-197.51744,
83:22:00:00,3,0,13:Ambient Temperature,28.633179,
83:22:00:00,3,0,14:LN2 Level,0.0,
83:22:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:22:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:22:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
83:23:00:00,3,0,11:PRTD 1,-167.10822,
83:23:00:00,3,0,12:PRTD 2,-197.47397,
83:23:00:00,3,0,13:Ambient Temperature,28.225037,
83:23:00:00,3,0,14:LN2 Level,0.0,
83:23:00:00,3,1,15:AC Detector Leakage Current,-247.0,
83:23:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
83:23:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:00:00:00,3,0,11:PRTD 1,-167.09146,
84:00:00:00,3,0,12:PRTD 2,-197.5283,
84:00:00:00,3,0,13:Ambient Temperature,28.429108,
84:00:00:00,3,0,14:LN2 Level,0.0,
