Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
1:19:00:00,3,1,15:AC Detector Leakage Current,-259
1:19:00:00,3,1,73:DC Detector Leakage Current,0
1:19:00:00,3,1,16:Charge Loop DC Level,-0.4
1:20:00:00,3,0,11:PRTD 1,-157.61343
1:20:00:00,3,0,12:PRTD 2,-198.53293
1:20:00:00,3,0,13:Ambient Temperature,33.53116
1:20:00:00,3,0,14:LN2 Level,0
1:20:00:00,3,1,15:AC Detector Leakage Current,-258
1:20:00:00,3,1,73:DC Detector Leakage Current,0
1:20:00:00,3,1,16:Charge Loop DC Level,-0.4
1:21:00:00,3,0,11:PRTD 1,-157.61343
1:21:00:00,3,0,12:PRTD 2,-198.5275
1:21:00:00,3,0,13:Ambient Temperature,33.53116
1:21:00:00,3,0,14:LN2 Level,0
1:21:00:00,3,1,15:AC Detector Leakage Current,-258
1:21:00:00,3,1,73:DC Detector Leakage Current,-31.746033
1:21:00:00,3,1,16:Charge Loop DC Level,-0.46
1:22:00:00,3,0,11:PRTD 1,-157.6247
1:22:00:00,3,0,12:PRTD 2,-198.52206
1:22:00:00,3,0,13:Ambient Temperature,33.327087
1:22:00:00,3,0,14:LN2 Level,0
1:22:00:00,3,1,15:AC Detector Leakage Current,-259
1:22:00:00,3,1,73:DC Detector Leakage Current,0
1:22:00:00,3,1,16:Charge Loop DC Level,-0.4
1:23:00:00,3,0,11:PRTD 1,-157.61906
1:23:00:00,3,0,12:PRTD 2,-198.53293
1:23:00:00,3,0,13:Ambient Temperature,33.327087
1:23:00:00,3,0,14:LN2 Level,0
1:23:00:00,3,1,15:AC Detector Leakage Current,-260
1:23:00:00,3,1,73:DC Detector Leakage Current,0
1:23:00:00,3,1,16:Charge Loop DC Level,-0.4
2:00:00:00,3,0,11:PRTD 1,-157.60214
2:00:00:00,3,0,12:PRTD 2,-198.5275
2:00:00:00,3,0,13:Ambient Temperature,33.53116
2:00:00:00,3,0,14:LN2 Level,0
2:00:00:00,3,1,15:AC Detector Leakage Current,-258
2:00:00:00,3,1,73:DC Detector Leakage Current,-10.582001
