Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
69:22:00:00,3,0,14:LN2 Level,0
69:22:00:00,3,1,15:AC Detector Leakage Current,-247
69:22:00:00,3,1,73:DC Detector Leakage Current,-86.41971
69:22:00:00,3,1,16:Charge Loop DC Level,-0.79999995
69:23:00:00,3,0,11:PRTD 1,-166.33084
69:23:00:00,3,0,12:PRTD 2,-197.52287
69:23:00:00,3,0,13:Ambient Temperature,30.265839
69:23:00:00,3,0,14:LN2 Level,0
69:23:00:00,3,1,15:AC Detector Leakage Current,-247
69:23:00:00,3,1,73:DC Detector Leakage Current,-12.345631
69:23:00:00,3,1,16:Charge Loop DC Level,-0.67999995
70:00:00:00,3,0,11:PRTD 1,-166.33084
70:00:00:00,3,0,12:PRTD 2,-197.53374
70:00:00:00,3,0,13:Ambient Temperature,30.265839
70:00:00:00,3,0,14:LN2 Level,0
70:00:00:00,3,1,15:AC Detector Leakage Current,-246
70:00:00:00,3,1,73:DC Detector Leakage Current,-12.345631
70:00:00:00,3,1,16:Charge Loop DC Level,-0.67999995
70:01:00:00,3,0,11:PRTD 1,-166.34203
70:01:00:00,3,0,12:PRTD 2,-197.5283
70:01:00:00,3,0,13:Ambient Temperature,30.265839
70:01:00:00,3,0,14:LN2 Level,0
70:01:00:00,3,1,15:AC Detector Leakage Current,-247
70:01:00:00,3,1,73:DC Detector Leakage Current,-12.345631
70:01:00:00,3,1,16:Charge Loop DC Level,-0.67999995
70:02:00:00,3,0,11:PRTD 1,-166.31964
70:02:00:00,3,0,12:PRTD 2,-197.53374
70:02:00:00,3,0,13:Ambient Temperature,30.265839
70:02:00:00,3,0,14:LN2 Level,0
70:02:00:00,3,1,15:AC Detector Leakage Current,-247
70:02:00:00,3,1,73:DC Detector Leakage Current,-12.345631
70:02:00:00,3,1,16:Charge Loop DC Level,-0.67999995
70:03:00:00,3,0,11:PRTD 1,-166.32524
70:03:00:00,3,0,12:PRTD 2,-197.53374
70:03:00:00,3,0,13:Ambient Temperature,30.265839
70:03:00:00,3,0,14:LN2 Level,0
70:03:00:00,3,1,15:AC Detector Leakage Current,-247
70:03:00:00,3,1,73:DC Detector Leakage Current,-24.691298
70:03:00:00,3,1,16:Charge Loop DC Level,-0.6999999
70:04:00:00,3,0,11:PRTD 1,-166.33084
70:04:00:00,3,0,12:PRTD 2,-197.53374
70:04:00:00,3,0,13:Ambient Temperature,30.061768
70:04:00:00,3,0,14:LN2 Level,0
70:04:00:00,3,1,15:AC Detector Leakage Current,-247
70:04:00:00,3,1,73:DC Detector Leakage Current,3.68E-05
70:04:00:00,3,1,16:Charge Loop DC Level,-0.65999997
70:05:00:00,3,0,11:PRTD 1,-166.33084
70:05:00:00,3,0,12:PRTD 2,-197.53917
70:05:00:00,3,0,13:Ambient Temperature,30.061768
70:05:00:00,3,0,14:LN2 Level,0
70:05:00:00,3,1,15:AC Detector Leakage Current,-247
70:05:00:00,3,1,73:DC Detector Leakage Current,3.68E-05
70:05:00:00,3,1,16:Charge Loop DC Level,-0.65999997
70:06:00:00,3,0,11:PRTD 1,-166.35881
70:06:00:00,3,0,12:PRTD 2,-197.52287
70:06:00:00,3,0,13:Ambient Temperature,30.061768
70:06:00:00,3,0,14:LN2 Level,0
70:06:00:00,3,1,15:AC Detector Leakage Current,-247
70:06:00:00,3,1,73:DC Detector Leakage Current,3.68E-05
70:06:00:00,3,1,16:Charge Loop DC Level,-0.65999997
